# Yarn → Mojmap 成员对照表（m413 gradlew mojmapMembers 生成，勿手改）
# 过滤：仅本仓源码出现过的标识符 × 名字确实变了的成员；列=种类(M/F)	Yarn名	Mojmap名	宿主类(样本)
F	chunk	wrapped	RenderChunk
F	chunkX	x	ClientboundLevelChunkWithLightPacket,ClientboundLightUpdatePacket,ClientboundSetChunkCacheCenterPacket
F	chunkZ	z	ClientboundLevelChunkWithLightPacket,ClientboundLightUpdatePacket,ClientboundSetChunkCacheCenterPacket
F	chunks	cache	ChunkGenerationTask,WorldGenRegion
F	chunks	chunkInfoCache	RenderRegionCache
F	chunks	pendingChunks	PlayerChunkSender
F	chunks	renderSections	SectionOcclusionGraph$GraphStorage
F	chunks	sections	ViewArea
F	chunks	storage	ClientChunkCache
F	chunks	viewArea	LevelRenderer
F	client	chaseClient	ChaseCommand
F	client	minecraft	AbstractSelectionList,AdvancementTab,AdvancementWidget,BeeDebugRenderer,BossHealthOverlay,BrainDebugRenderer
F	code	value	InputConstants$Key
F	codec	CODEC	LiquidSettings,VaultConfig,VaultServerData,VaultSharedData
F	codec	MAP_CODEC	TrialSpawnerData
F	codec	configuredCodec	Feature,WorldCarver
F	codec	mapCodec	ListOperation$Type
F	codec	propertiesCodec	StateHolder
F	collection	storage	EntitySection
F	color	col	MapColor
F	color	dustColor	ColoredFallingBlock
F	color	dyeColor	DyeItem
F	color	fillColor	CommandSuggestions
F	color	variant	Horse$HorseGroupData
F	color	writeColor	RenderStateShard$WriteMaskStateShard
F	command	commandInput	BuildContexts,ExecuteCommand
F	command	msg	ConsoleInput
F	commands	items	SpectatorPage,TeleportToTeamMenuCategory
F	comparator	coordinateValueComparator	ScreenDirection
F	comparator	itemStatSorter	StatsScreen$ItemStatisticsList
F	components	expectedComponents	DataComponentPredicate,DataComponentPredicate$Builder
F	components	map	DataComponentMap$Builder
F	components	selectors	MultiPart,MultiPartBakedModel,MultiPartBakedModel$Builder
F	components	subconditions	Condition$CompositeCondition
F	config	generator	CreateFlatWorldScreen
F	config	settings	FlatLevelSource,PresetFlatWorldScreen,Structure
F	context	access	BeaconMenu,CartographyTableMenu,CraftingMenu,EnchantmentMenu,GrindstoneMenu,ItemCombinerMenu
F	context	ctx	ServerConnectionListener$LatencySimulator$DelayedMessage
F	context	currentContext	NodeEvaluator
F	context	executionContext	ExecuteCommand
F	context	renderer	RenderLayer
F	context	reportingContext	AbstractReportScreen
F	core	cube	EndCrystalRenderer
F	count	cost	VillagerTrades$EmeraldsForVillagerTypeItem
F	count	nextChar	StringSplitter$LineBreakFinder
F	count	size	BinaryHeap
F	count	value	EnchantedCountIncreaseFunction
F	counts	counters	ActiveProfiler$PathEntry
F	craftAll	shiftDown	ServerboundPlaceRecipePacket
F	currentRecipe	selectedRecipe	SmithingMenu
F	currentScreenHandler	containerMenu	Player
F	cursor	lastCursor	ErrorCollector$LongestOnly
F	custom	attributes	AttributeMap
F	data	accessor	SynchedEntityData$DataItem
F	data	b1	ClientboundBlockEventPacket
F	data	blockRenderState	Display$BlockDisplay
F	data	compiled	SectionRenderDispatcher$RenderSection
F	data	compiledSection	SectionRenderDispatcher$RenderSection$ResortTransparencyTask
F	data	event	HoverEvent
F	data	ints	SimpleContainerData
F	data	itemRenderState	Display$ItemDisplay
F	data	lightData	ClientboundLightUpdatePacket
F	data	mesh	LayerDefinition
F	data	nbt	BlockStateParser
F	data	occupant	BeehiveBlockEntity$BeeData
F	data	root	MeshDefinition
F	data	rulesResponse	QueryThreadGs4
F	data	tag	BlockInput
F	data	textRenderState	Display$TextDisplay
F	data	value	Brain$MemoryValue
F	delta	fadeDirection	BiomeAmbientSoundsHandler$LoopSoundInstance
F	deltaX	relX	RandomLookAroundGoal
F	deltaX	xa	ClientboundMoveEntityPacket
F	deltaY	ya	ClientboundMoveEntityPacket
F	depth	count	CollectingNeighborUpdater
F	depth	writeDepth	RenderStateShard$WriteMaskStateShard
F	depth	x	TreeNodePosition
F	dimension	dimensionType	WorldGenRegion
F	direction	axisDirection	ChunkPalettedStorageFix$Direction,Direction
F	direction	currentMoveDirection	ShulkerBullet
F	direction	directionOfSearch	EnvironmentScanPlacement
F	direction	normal	ModelPart$Polygon
F	direction	ramDirection	RamTarget
F	direction	selectedDirection	Silverfish$SilverfishMergeWithStoneGoal
F	direction	sourceDirections	SectionOcclusionGraph$Node
F	dirty	changed	ComposterBlock$InputContainer,ComposterBlock$OutputContainer
F	dirty	dirtyData	MapItemSavedData$HoldingPlayer
F	dirty	isDirty	LanServerDetection$LanServerList,SynchedEntityData,VaultServerData,VaultSharedData
F	dirty	isFirstPacket	PlayerAdvancements
F	dirty	isModified	BookEditScreen
F	dirty	updateLightTexture	LightTexture
F	disabled	selected	BeaconScreen$BeaconScreenButton
F	displayName	name	RealmsSelectFileToUploadScreen$Entry
F	displayName	nameDisplayCache	TransferableSelectionList$PackEntry
F	displayName	packId	ConfirmExperimentalFeaturesScreen$DetailsScreen$PackListEntry
F	displayName	statDisplay	StatsScreen$GeneralStatisticsList$Entry
